## Use tabs to separate
## tag [for schedule]	Full name	<filename>
## filename should match a file on ICI3D.github.io in _data/team]
## If filename (and second tab) are missing the name is displayed nicely without a link
paradza	Masimba Paradza	paradza
bruce	Faikah Bruce	bruce
hargrove	John Hargrove	hargrove
dushoff	Jonathan Dushoff	dushoff
mthombothi	Zinhle Mthombothi	mthombothi
scott	Jim Scott	scott
borchering	Becky Borchering	borchering
pulliam	Juliet Pulliam	pulliam
vanschalkwyk	Cari van Schalkwyk	vanschalkwyk
kassanjee	Reshma Kassanjee	kassanjee
pearson	Carl Pearson	pearson
bolton	Larisse Bolton	bolton
vs	Cari van Schalkwyk	vanschalkwyk
hladish	Tom Hladish	hladish
reiner	Bobby Reiner	reiner
deleo	Giulio De Leo	deleo
li	Michael Li	li
brown	Lauren Brown	brown
are	Elisha Are	are
nyamai	Mutono Nyamai	nyamai
